Overall Accuracy: 99.97551620011426
Class 1 Accuracy: 99.98073217726397
Class 2 Accuracy: 99.97411472354524
Predict	Actual	Dist. from plane
2	2	6.25790
2	2	6.50892
2	2	2.89640
2	2	6.93142
2	2	6.24358
2	2	6.87765
2	2	6.29079
2	2	6.59378
2	2	6.29337
2	2	6.24336
2	2	6.24340
2	2	6.61968
1	1	-1.95527
2	2	8.41647
2	2	6.98999
2	2	6.67809
1	1	-4.54490
2	2	6.69047
2	2	7.12844
2	2	6.25914
1	1	-2.12670
2	2	6.24335
1	1	-2.68914
1	1	-3.31637
2	2	6.24344
1	1	-3.34087
2	2	6.98431
1	1	-2.38620
2	2	6.24400
2	2	6.73439
2	2	6.85622
2	2	7.19355
2	2	6.24335
2	2	6.98999
2	2	10.93696
2	2	6.33537
2	2	6.90320
2	2	6.89035
2	2	6.41011
2	2	6.28149
2	2	7.05951
2	2	6.96906
2	2	4.92377
2	2	6.88581
2	2	6.94671
1	1	-3.19108
2	2	6.24339
1	1	-2.51169
1	1	-1.60601
2	2	6.96906
2	2	6.70310
2	2	6.91355
2	2	7.28066
2	2	6.50854
2	2	7.05951
2	2	6.72372
1	1	-3.67306
2	2	6.69707
2	2	1.33252
1	1	-2.12851
1	1	-3.50157
2	2	6.24336
2	2	8.60704
2	2	6.25014
2	2	6.88581
2	2	6.90320
2	2	6.24334
2	2	6.41063
1	1	-4.45387
2	2	6.24849
2	2	7.70136
2	2	6.61882
1	1	-3.37565
2	2	6.26063
2	2	6.79570
2	2	6.59378
1	1	-2.66728
2	2	7.77901
2	2	6.78712
2	2	6.88950
1	1	-3.53619
2	2	6.70833
2	2	6.57335
1	1	-3.53452
2	2	6.29051
2	2	6.35326
2	2	7.12843
2	2	6.66206
2	2	7.08155
1	1	-6.97663
2	2	6.89869
1	1	-3.63888
2	2	6.77284
2	2	6.24337
2	2	6.31895
2	2	6.94399
2	2	6.48426
2	2	6.24429
1	1	-4.17663
2	2	6.24334
2	2	6.85634
2	2	7.94616
2	2	6.86294
2	2	6.40064
2	2	6.77784
2	2	6.91355
2	2	6.65684
2	2	6.78106
2	2	6.85672
1	1	-3.28492
2	2	6.83257
2	2	6.66206
2	2	6.83347
2	2	6.64393
2	2	6.26887
2	2	6.67809
2	2	6.59378
1	1	-2.74826
2	2	6.24472
1	1	-5.60765
2	2	6.72722
2	2	6.79078
1	1	-4.30487
2	2	6.85622
2	2	6.24469
2	2	6.60352
2	2	6.24335
1	1	-3.59228
1	1	-7.66042
2	2	6.63271
2	2	6.77648
2	2	7.07020
2	2	6.39953
2	2	6.96906
2	2	7.59525
1	1	-4.02364
2	2	6.85622
2	2	7.12844
2	2	9.01846
2	2	6.26484
2	2	6.90094
1	1	-2.23659
2	2	6.68661
2	2	6.73914
2	2	6.68750
2	2	6.25912
1	1	-6.04818
1	1	-2.95765
1	1	-4.82416
1	1	-3.50157
1	1	-2.85622
2	2	6.67366
2	2	6.25430
2	2	6.26561
2	2	6.24443
2	2	7.42758
2	2	6.24682
2	2	7.04142
2	2	10.47460
1	1	-5.27185
2	2	6.29603
1	1	-3.81728
2	2	6.88572
1	1	-1.68063
1	1	-4.20345
2	2	6.44363
2	2	6.70415
2	2	6.72071
2	2	6.27225
2	2	5.20999
2	2	6.26792
2	2	6.58873
2	2	6.42747
2	2	7.03962
2	2	6.89869
2	2	6.26341
1	1	-3.00651
2	2	6.60286
2	2	7.07712
1	1	-3.02791
2	2	8.25814
2	2	6.93329
2	2	6.64484
2	2	6.28399
2	2	6.24334
2	2	6.59378
2	2	6.97768
2	2	12.21249
2	2	8.05150
2	2	6.24354
2	2	6.26594
2	2	8.55940
2	2	6.77924
1	1	-4.61303
2	2	6.25592
2	2	6.88581
2	2	7.13692
2	2	6.71803
2	2	6.24340
2	2	6.73082
2	2	7.72520
2	2	6.53539
2	2	6.24334
2	2	6.57170
2	2	6.65684
1	1	-3.81431
2	2	6.96906
2	2	5.36258
1	1	-4.27404
2	2	6.88699
2	2	6.83536
2	2	6.61968
2	2	6.26747
2	2	6.76326
1	1	-2.52713
2	2	6.27155
2	2	9.41670
2	2	6.26404
2	2	6.65684
1	1	-3.48960
2	2	8.88986
1	1	-5.08717
2	2	6.28344
2	2	6.88254
2	2	6.28856
2	2	6.66206
1	1	-1.15332
1	1	-2.72280
2	2	6.24344
2	2	6.88564
2	2	6.24405
1	1	-2.62855
2	2	6.91355
2	2	6.73082
2	2	6.93142
1	1	-3.49621
2	2	6.64110
2	2	7.04475
2	2	6.76526
2	2	6.24499
2	2	6.53696
2	2	5.60560
2	2	6.78846
2	2	7.34044
2	2	6.47081
1	1	-3.03710
1	1	-1.33985
2	2	6.24338
2	2	6.24335
1	1	-3.52181
2	2	6.74865
2	2	9.49593
1	1	-3.49354
2	2	6.89655
1	1	-4.08495
2	2	6.24333
2	2	9.67788
2	2	6.25773
2	2	6.80445
2	2	7.08155
2	2	6.93142
2	2	7.07020
2	2	6.26266
2	2	6.84959
2	2	6.30076
1	1	-3.16682
2	2	6.62385
2	2	6.26532
2	2	6.27524
2	2	6.94671
2	2	6.30995
2	2	6.66206
2	2	6.58169
1	1	-3.29114
2	2	6.36461
1	1	-2.85622
2	2	6.27156
2	2	6.82553
2	2	6.24335
2	2	6.24675
2	2	7.13086
2	2	6.31428
1	1	-3.25391
1	1	-3.49621
2	2	6.84959
2	2	6.73583
2	2	6.92970
1	1	-2.98802
2	2	6.24338
2	2	6.27145
2	2	6.26235
2	2	6.61968
2	2	6.24333
2	2	6.71690
2	2	10.25530
2	2	6.26950
2	2	6.25619
1	1	-3.34430
2	2	6.26660
2	2	6.26931
1	1	-2.69506
2	2	6.66206
1	1	-4.08606
2	2	11.96420
2	2	7.04165
2	2	6.25543
1	1	-4.35999
2	2	6.63339
