Overall Accuracy: 46.461949265687586
Class 0 Accuracy: 2.4752475247524752
Class 1 Accuracy: 97.97101449275362
Predict	Actual	Probability
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
0	0	[0.7378  0.2622]
1	1	[0.0035  0.9965]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	1	[0.0016  0.9984]
1	0	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0669  0.9331]
1	0	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0002  0.9998]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
0	0	[1.0000  0.0000]
1	0	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0003  0.9997]
1	0	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0003  0.9997]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.2910  0.7090]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0048  0.9952]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
0	0	[1.0000  0.0000]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	1	[0.0001  0.9999]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
0	1	[1.0000  0.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	1	[0.0005  0.9995]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0080  0.9920]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	0	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	1	[0.0000  1.0000]
1	0	[0.0000  1.0000]
